run,param,peak_infection,selection_events,transmission_R,cumulative_I_R
81,0.9,5.0,12.0,81.0,159.0
82,0.9,5.0,12.0,39.0,113.0
83,0.9,5.0,4.0,135.0,247.0
84,0.9,6.0,5.0,118.0,251.0
85,0.9,5.0,13.0,68.0,209.0
86,0.9,4.0,14.0,82.0,134.0
87,0.9,7.0,14.0,59.0,126.0
88,0.9,5.0,4.0,100.0,186.0
89,0.9,6.0,13.0,55.0,110.0
90,0.9,5.0,15.0,61.0,121.0
91,0.9,5.0,8.0,106.0,199.0
92,0.9,4.0,15.0,55.0,75.0
93,0.9,6.0,7.0,117.0,240.0
94,0.9,6.0,18.0,35.0,98.0
95,0.9,6.0,11.0,85.0,168.0
96,0.9,5.0,5.0,106.0,232.0
97,0.9,6.0,11.0,113.0,253.0
98,0.9,4.0,7.0,19.0,29.0
99,0.9,5.0,7.0,88.0,212.0
100,0.9,5.0,19.0,27.0,67.0
